mbid,tempo,danceability,key,key_scale,loudness,dynamic_complexity
7e8d7470-95b7-49de-9a7c-5ee0ec6bbb91,117.958892822,1.35078930855,F,major,0.851059854031,4.05597305298
3762282c-01fd-42b5-9903-c4dc7c26c6df,96.0791473389,1.22753560543,F#,major,0.952880203724,3.76702618599
d0918829-9cbd-48e2-81a0-1a1e28dbea89,85.1029891968,1.23613417149,E,minor,0.937953352928,4.56461238861
3457d624-bfb4-4e6b-9110-387db7f5b638,116.021972656,1.54767763615,F,minor,0.966172516346,2.52765631676
57708b14-bd86-44d5-a020-52c632748090,126.979644775,1.03297626972,C,major,0.800242304802,4.28175258636
152b2c7c-d60f-4b99-8f4f-b8c283c84320,107.966941833,1.03244137764,G#,minor,0.775191545486,4.65875434875
4eae17e1-1e24-49e7-88b8-9dd7adea30e5,153.851821899,1.14716982841,A#,major,0.943674266338,3.66670203209
ab106d94-93c8-4f59-995d-3743c154646a,133.005584717,1.14679455757,C#,major,0.952793061733,3.11206507683
4e198763-6feb-43ae-90df-8d560ac24a0b,112.941558838,1.39826738834,D,minor,0.941201865673,3.33566808701
fb0ca439-1324-4e6d-96d0-ab1c92f70ccf,96.1412582397,1.01147389412,D,major,0.622399508953,8.40361213684
6bb825da-8800-455b-a3a3-29d7af7950b4,123.819519043,1.06008565426,F,major,0.94606000185,3.4090192318
e66b99bd-83e4-4603-921b-9defb4d4379d,93.6633453369,0.97804248333,C,major,0.914379239082,3.16818356514
b4478759-61c6-4968-a53d-12db521ae351,150.579315186,0.986533761024,G#,major,0.532485663891,5.16985034943
63c3b45c-3291-49c5-a54b-57cf4e6ea38d,111.755180359,1.1622453928,E,major,0.866262078285,3.79793763161
f5c9aa2a-52ae-4418-a25b-196f9e53e1bc,123.818611145,1.27359318733,C,major,0.885182738304,4.04655694962
73b7db2a-7103-425b-995b-95ca89c97fdd,102.072349548,1.17279672623,C#,minor,0.903260231018,3.85310530663
9a037c8b-5b6c-4c2d-a23a-4a35eeae4655,172.265289307,1.03712499142,F,minor,0.856422245502,3.15072846413
3b5dc05f-95a9-49e8-91b1-a680170752d8,147.986434937,1.07568740845,F,major,0.835858166218,4.62419605255
c23d0921-20eb-4716-9f00-3bcd5bf16a3c,161.586639404,1.10231387615,G,major,0.863109469414,3.73029112816
656c2ded-9a9b-4555-9c9a-8b6c71410b59,129.991012573,1.20964705944,C,major,0.932381093502,3.56858444214
483b9b70-49f1-4830-9f85-03232e1d6d5d,99.9494171143,1.12461411953,E,major,0.842354178429,4.29312133789
f79056b8-94e5-428b-be33-39fc7e0551cd,151.962005615,1.08161520958,A,major,0.796475827694,3.74720668793
67ecf24b-83c8-470a-8826-6bd36ef809ba,109.926612854,1.12022387981,F,minor,0.950921058655,3.95686101913
9043993a-a787-42e2-96e8-a77fdc731844,150.209686279,1.35904383659,A,minor,0.971616148949,2.07478880882
e7c93f9a-cff2-4f79-ac3d-3c231f7b7519,109.918182373,1.36934804916,F,major,0.967424094677,2.64503693581
5199efb3-59f7-4cc5-a6f1-1a6e8104cfc1,129.888870239,1.10306787491,C,major,0.906090021133,4.26903676987
538fa9ff-c8bf-4fbb-946e-cd768afdf9d0,76.0512008667,1.07159841061,A#,minor,0.902297854424,3.8869831562
c655a42b-a29f-4c13-8205-b86a95cb7109,120.150886536,1.07226574421,D,major,0.953068375587,2.7047932148
6830a0a7-bdc5-4df4-9e69-490a6058d2ca,154.768966675,1.0975124836,A#,minor,0.899489223957,3.83446145058
4d01fb39-fda5-4938-99ea-ab2c6351d2ce,107.980606079,1.32015323639,C#,major,0.962279319763,3.07020449638
03d069d6-6257-4f27-b69f-c15d0857fe8a,140.039093018,1.15278792381,G,major,0.933639347553,3.00919246674
55634f7f-d1da-4528-b1ed-f0b2b92c4db1,125.987495422,1.55619740486,G#,major,0.870108902454,4.10899114609
dfddcec3-9be0-45b3-b5ec-a77cad876b71,129.929428101,1.18239891529,A#,major,0.931423723698,2.76535868645
adf64ec6-945c-41c4-adef-8bc3eeccad5c,130.055511475,1.66126644611,E,major,0.979520618916,2.5933163166
98166090-f29e-4b80-8401-3305ac5a65c9,120.078041077,1.09540462494,A#,minor,0.932991087437,2.64902639389
15ef7988-6925-439b-9b69-77817e1d53b5,115.134963989,1.78830444813,A,major,0.980165541172,1.44075262547
2d865a50-acbd-46ed-9323-27009de9dc0a,108.030448914,0.972633719444,D#,major,0.883187234402,3.49910759926
