model,feature,source_feature,importance_type,importance
Random Forest,num__release_decade,release_decade,tree_importance,0.002260376057254502
Random Forest,cat__genre_latin,genre,tree_importance,0.001982172438221284
Random Forest,cat__genre_jazz,genre,tree_importance,0.0018440846330666188
Random Forest,cat__genre_dance,genre,tree_importance,0.0006482926297986598
Random Forest,cat__release_type_Other,release,tree_importance,0.0005622734238817022
Random Forest,num__audio_feature_missing_count,audio_feature_missing_count,tree_importance,0.0004370587568506187
Random Forest,cat__genre_reggae,genre,tree_importance,0.0001253967982010692
Random Forest,cat__genre_funk,genre,tree_importance,0.00005496817737930998
Random Forest,cat__artist_country_Unknown,artist,tree_importance,0.0
Random Forest,cat__release_type_Broadcast,release,tree_importance,0.0
Random Forest,num__genre_match_count,genre_match_count,tree_importance,0.0
Random Forest,num__career_x_duration_min,career_x_duration_min,tree_importance,0.0
Random Forest,cat__artist_type_Unknown,artist,tree_importance,0.0
Ridge,cat__genre_classical,genre,absolute_coefficient,4.14868137166605
Ridge,cat__genre_indie,genre,absolute_coefficient,3.5971849974064387
Ridge,cat__genre_r&b,genre,absolute_coefficient,2.608665237536869
Ridge,cat__genre_punk,genre,absolute_coefficient,1.9645257003954393
Ridge,cat__genre_metal,genre,absolute_coefficient,1.0429760783663335
Ridge,cat__release_type_Broadcast,release,absolute_coefficient,1.0408777838920846
Ridge,cat__genre_folk,genre,absolute_coefficient,0.987509480167389
Ridge,cat__release_type_Unknown,release,absolute_coefficient,0.974146808887319
Ridge,cat__genre_blues,genre,absolute_coefficient,0.9072743869365071
Ridge,cat__genre_country,genre,absolute_coefficient,0.8912687478851854
Ridge,cat__genre_soul,genre,absolute_coefficient,0.7758940812245207
Ridge,cat__genre_electronic,genre,absolute_coefficient,0.686250563791746
Ridge,cat__release_type_EP,release,absolute_coefficient,0.5350948681131731
Ridge,cat__release_type_Other,release,absolute_coefficient,0.49717838891176663
Ridge,cat__release_type_Single,release,absolute_coefficient,0.3973291160852171
Ridge,cat__genre_pop,genre,absolute_coefficient,0.3828272100859892
Ridge,num__audio_feature_missing_count,audio_feature_missing_count,absolute_coefficient,0.37636613575833266
Ridge,num__has_audio_features,has_audio_features,absolute_coefficient,0.37636613575825645
Ridge,cat__genre_latin,genre,absolute_coefficient,0.3758462522529796
Ridge,cat__release_type_Album,release,absolute_coefficient,0.3685146202711692
Ridge,cat__genre_rock,genre,absolute_coefficient,0.3650665235355998
Ridge,num__release_decade,release_decade,absolute_coefficient,0.3186459954753722
Ridge,cat__genre_dance,genre,absolute_coefficient,0.297819825345402
Ridge,cat__genre_jazz,genre,absolute_coefficient,0.2695549421823102
Ridge,cat__genre_reggae,genre,absolute_coefficient,0.2023586879779124
Ridge,num__track_age,track_age,absolute_coefficient,0.158192023180312
Ridge,num__release_year,release_year,absolute_coefficient,0.15819202317972816
Ridge,cat__genre_hip-hop,genre,absolute_coefficient,0.15487094781426278
Ridge,cat__genre_ambient,genre,absolute_coefficient,0.14239187417690538
Ridge,cat__genre_funk,genre,absolute_coefficient,0.1103407267974078
Ridge,cat__genre_gospel,genre,absolute_coefficient,0.10023957919933424
Ridge,num__duration_sec,duration_sec,absolute_coefficient,0.05955511226135644
Ridge,num__genre_match_count,genre_match_count,absolute_coefficient,0.006952010292837837
Ridge,num__career_x_duration_min,career_x_duration_min,absolute_coefficient,0.0
Ridge,cat__artist_country_Unknown,artist,absolute_coefficient,0.0
Ridge,cat__artist_type_Unknown,artist,absolute_coefficient,0.0
